onset	duration	stimulus
9.0124	4.0	CSnegFt
33.0319	4.0	CSminHt
57.0315	4.0	CSnegHt
81.0127	4.0	CSminFt
105.0156	4.0	CSnegFt
129.0184	4.0	CSminHt
153.0296	4.0	CSnegHt
177.0292	4.0	CSminFt
201.0288	4.0	CSnegHf
205.0089	0.5	USneg
225.013	4.0	CSminHf
249.0159	4.0	CSminFf
273.0275	4.0	CSnegFf
277.0076	0.5	USneg
297.0271	4.0	CSnegHf
301.0071	0.5	USneg
321.0267	4.0	CSnegFt
345.0105	4.0	CSminHt
369.0133	4.0	CSnegHt
393.0254	4.0	CSminFt
417.0249	4.0	CSminFf
441.0245	4.0	CSminFf
465.008	4.0	CSnegFf
469.0056	0.5	USneg
489.0108	4.0	CSminHf
513.0136	4.0	CSnegHf
517.0033	0.5	USneg
537.0228	4.0	CSnegFt
561.0223	4.0	CSminHt
585.0054	4.0	CSnegHt
609.0082	4.0	CSminFt
633.0111	4.0	CSnegHf
637.0011	0.5	USneg
657.0206	4.0	CSminHf
681.0202	4.0	CSminHf
705.0029	4.0	CSminFf
729.0057	4.0	CSnegFf
733.0033	0.5	USneg
753.0085	4.0	CSnegFt
777.0185	4.0	CSminHt
801.018	4.0	CSnegHt
825.0003	4.0	CSminFt
849.0032	4.0	CSminFf
872.9968	4.0	CSminHf
897.0163	4.0	CSnegFf
900.9964	0.5	USneg
921.0159	4.0	CSnegHf
924.996	0.5	USneg
944.9978	4.0	CSnegFf
948.9955	0.5	USneg
969.0006	4.0	CSnegFt
993.0034	4.0	CSminHt
1017.0142	4.0	CSnegHt
1041.0138	4.0	CSminFt
1064.9952	4.0	CSnegHf
1068.9934	0.5	USneg
1088.9981	4.0	CSminHf
1113.0009	4.0	CSnegFf
1116.9985	0.5	USneg
1137.012	4.0	CSminFf
1161.0116	4.0	CSnegFt
1184.9927	4.0	CSminHt
1208.9955	4.0	CSnegHt
1232.9984	4.0	CSminFt
