onset	duration	stimulus
9.0128	4.0	CSminHt
33.0156	4.0	CSnegFt
57.0183	4.0	CSminFt
81.0297	4.0	CSnegHt
105.0291	4.0	CSminHt
129.0285	4.0	CSnegFt
153.0127	4.0	CSminFt
177.0154	4.0	CSnegHt
201.027	4.0	CSnegHf
225.0265	4.0	CSminHf
249.026	4.0	CSminFf
273.0098	4.0	CSnegFf
297.0125	4.0	CSnegHf
321.0153	4.0	CSminHt
345.024	4.0	CSnegFt
369.0235	4.0	CSminFt
393.0069	4.0	CSnegHt
417.0096	4.0	CSminFf
441.0124	4.0	CSminFf
465.0215	4.0	CSnegFf
489.021	4.0	CSminHf
513.004	4.0	CSnegHf
537.0067	4.0	CSminHt
560.9995	4.0	CSnegFt
585.019	4.0	CSminFt
609.0185	4.0	CSnegHt
633.0011	4.0	CSnegHf
657.0038	4.0	CSminHf
681.0066	4.0	CSminHf
705.0165	4.0	CSminFf
729.016	4.0	CSnegFf
752.9982	4.0	CSminHt
777.0009	4.0	CSnegFt
801.0037	4.0	CSminFt
825.014	4.0	CSnegHt
849.0135	4.0	CSminFf
872.9952	4.0	CSminHf
896.998	4.0	CSnegFf
921.0007	4.0	CSnegHf
945.0115	4.0	CSnegFf
969.011	4.0	CSminHt
992.9923	4.0	CSnegFt
1016.9951	4.0	CSminFt
1040.9978	4.0	CSnegHt
1065.009	4.0	CSnegHf
1089.0085	4.0	CSminHf
1112.9894	4.0	CSnegFf
1136.9922	4.0	CSminFf
1160.9949	4.0	CSminHt
1185.0065	4.0	CSnegFt
1209.0059	4.0	CSminFt
1233.0054	4.0	CSnegHt
1253.4855	0.5	USneg
1278.9904	4.0	CSminHt
1302.9931	4.0	CSnegFt
1327.0035	4.0	CSminFt
1351.003	4.0	CSnegHt
1374.9847	4.0	GenPCSminH
1398.9875	4.0	GenPCSnegF
1422.9902	4.0	GenPCSminF
1447.0011	4.0	GenPCSnegH
