onset	duration	stimulus
9.0491	4.0	CSminHt
33.0488	4.0	CSnegFt
57.0134	4.0	CSminFt
81.0162	4.0	CSnegHt
105.0271	4.0	CSminHt
129.0467	4.0	CSnegFt
153.0461	4.0	CSminFt
177.0105	4.0	CSnegHt
201.0132	4.0	CSnegHf
205.0109	0.5	USneg
225.0246	4.0	CSminHf
249.0441	4.0	CSminFf
273.0436	4.0	CSnegFf
277.0235	0.5	USneg
297.0076	4.0	CSnegHf
301.0052	0.5	USneg
321.0103	4.0	CSminHt
345.0221	4.0	CSnegFt
369.0416	4.0	CSminFt
393.0411	4.0	CSnegHt
417.0406	4.0	CSminFf
441.0074	4.0	CSminFf
465.0196	4.0	CSnegFf
469.0077	0.5	USneg
489.0295	4.0	CSminHf
513.0386	4.0	CSnegHf
517.0185	0.5	USneg
537.0381	4.0	CSminHt
561.0044	4.0	CSnegFt
585.0072	4.0	CSminFt
609.0266	4.0	CSnegHt
633.0361	4.0	CSnegHf
637.016	0.5	USneg
657.0356	4.0	CSminHf
681.0015	4.0	CSminHf
705.0042	4.0	CSminFf
729.0236	4.0	CSnegFf
733.0142	0.5	USneg
753.0336	4.0	CSminHt
777.0331	4.0	CSnegFt
800.9985	4.0	CSminFt
825.0013	4.0	CSnegHt
849.0116	4.0	CSminFf
873.0311	4.0	CSminHf
897.0306	4.0	CSnegFf
901.0104	0.5	USneg
920.9956	4.0	CSnegHf
924.9932	0.5	USneg
944.9983	4.0	CSnegFf
948.996	0.5	USneg
969.0091	4.0	CSminHt
993.0286	4.0	CSnegFt
1017.0281	4.0	CSminFt
1040.9926	4.0	CSnegHt
1064.9954	4.0	CSnegHf
1068.993	0.5	USneg
1089.0065	4.0	CSminHf
1113.0261	4.0	CSnegFf
1117.0062	0.5	USneg
1137.0256	4.0	CSminFf
1160.9897	4.0	CSminHt
1184.9924	4.0	CSnegFt
1209.004	4.0	CSminFt
1233.0235	4.0	CSnegHt
