onset	duration	stimulus
9.0199	4.0	CSminHt
33.0487	4.0	CSnegFt
57.0481	4.0	CSminFt
81.0474	4.0	CSnegHt
105.0137	4.0	CSminHt
129.0163	4.0	CSnegFt
153.0356	4.0	CSminFt
177.0449	4.0	CSnegHt
201.0442	4.0	CSnegHf
205.0243	0.5	USneg
225.0101	4.0	CSminHf
249.0127	4.0	CSminFf
273.0223	4.0	CSnegFf
277.0129	0.5	USneg
297.0417	4.0	CSnegHf
301.0217	0.5	USneg
321.041	4.0	CSminHt
345.0064	4.0	CSnegFt
369.0091	4.0	CSminFt
393.0191	4.0	CSnegHt
417.0385	4.0	CSminFf
441.0378	4.0	CSminFf
465.0028	4.0	CSnegFf
469.0005	0.5	USneg
489.0054	4.0	CSminHf
513.0159	4.0	CSnegHf
517.0057	0.5	USneg
537.0353	4.0	CSminHt
561.0346	4.0	CSnegFt
584.9992	4.0	CSminFt
609.0018	4.0	CSnegHt
633.0127	4.0	CSnegHf
637.002	0.5	USneg
657.0321	4.0	CSminHf
681.0314	4.0	CSminHf
704.9955	4.0	CSminFf
728.9981	4.0	CSnegFf
732.9958	0.5	USneg
753.0095	4.0	CSminHt
777.0289	4.0	CSnegFt
801.0282	4.0	CSminFt
824.9919	4.0	CSnegHt
848.9945	4.0	CSminFf
873.0063	4.0	CSminHf
897.0257	4.0	CSnegFf
901.0057	0.5	USneg
921.025	4.0	CSnegHf
925.0052	0.5	USneg
945.0244	4.0	CSnegFf
949.0045	0.5	USneg
968.9909	4.0	CSminHt
992.9935	4.0	CSnegFt
1017.0128	4.0	CSminFt
1041.0218	4.0	CSnegHt
1065.0212	4.0	CSnegHf
1069.0013	0.5	USneg
1088.9872	4.0	CSminHf
1112.9899	4.0	CSnegFf
1116.9875	0.5	USneg
1137.0091	4.0	CSminFf
1161.0186	4.0	CSminHt
1185.018	4.0	CSnegFt
1208.9836	4.0	CSminFt
1232.9862	4.0	CSnegHt
