onset	duration	stimulus
9.0352	4.0	CSminFt
33.0345	4.0	CSminHt
57.0168	4.0	CSnegHt
81.0026	4.0	CSnegFt
105.0124	4.0	CSminFt
129.0316	4.0	CSminHt
153.0309	4.0	CSnegHt
177.0128	4.0	CSnegFt
200.9987	4.0	CSnegFf
204.9963	0.5	USneg
225.0179	4.0	CSminHf
249.0281	4.0	CSminFf
273.0274	4.0	CSnegFf
277.0074	0.5	USneg
297.0088	4.0	CSnegHf
301.0067	0.5	USneg
321.0114	4.0	CSminFt
345.0052	4.0	CSminHt
369.0245	4.0	CSnegHt
393.0238	4.0	CSnegFt
417.0048	4.0	CSnegFf
421.0032	0.5	USneg
441.0074	4.0	CSminHf
465.0017	4.0	CSnegHf
468.9909	0.5	USneg
489.021	4.0	CSminFf
513.0202	4.0	CSminFf
537.0195	4.0	CSminFt
561.0034	4.0	CSminHt
584.9981	4.0	CSnegHt
609.0174	4.0	CSnegFt
633.0167	4.0	CSminHf
657.016	4.0	CSminHf
680.9994	4.0	CSnegHf
684.9971	0.5	USneg
704.9945	4.0	CSminFf
729.0139	4.0	CSnegFf
732.994	0.5	USneg
753.0131	4.0	CSminFt
777.0124	4.0	CSminHt
800.9954	4.0	CSnegHt
824.9813	4.0	CSnegFt
849.0005	4.0	CSminFf
873.0096	4.0	CSminHf
897.0089	4.0	CSnegHf
900.989	0.5	USneg
920.9914	4.0	CSnegHf
924.9891	0.5	USneg
944.9773	4.0	CSnegFf
948.975	0.5	USneg
968.9965	4.0	CSminFt
993.006	4.0	CSminHt
1017.0053	4.0	CSnegHt
1040.9874	4.0	CSnegFt
1064.99	4.0	CSnegHf
1068.9876	0.5	USneg
1088.9832	4.0	CSminHf
1113.0024	4.0	CSnegFf
1116.9825	0.5	USneg
1137.0017	4.0	CSminFf
1160.9835	4.0	CSminFt
1184.986	4.0	CSminHt
1208.9796	4.0	CSnegHt
1232.9989	4.0	CSnegFt
