onset	duration	stimulus
9.0495	4.0	CSminFt
33.0154	4.0	CSminHt
57.018	4.0	CSnegHt
81.0372	4.0	CSnegFt
105.0467	4.0	CSminFt
129.046	4.0	CSminHt
153.0114	4.0	CSnegHt
177.014	4.0	CSnegFt
201.0332	4.0	CSnegFf
205.0239	0.5	USneg
225.0432	4.0	CSminHf
249.0424	4.0	CSminFf
273.0075	4.0	CSnegFf
277.0051	0.5	USneg
297.01	4.0	CSnegHf
301.0077	0.5	USneg
321.0203	4.0	CSminFt
345.0396	4.0	CSminHt
369.0389	4.0	CSnegHt
393.0035	4.0	CSnegFt
417.006	4.0	CSnegFf
421.0037	0.5	USneg
441.0167	4.0	CSminHf
465.036	4.0	CSnegHf
469.0162	0.5	USneg
489.0353	4.0	CSminFf
512.9995	4.0	CSminFf
537.002	4.0	CSminFt
561.0132	4.0	CSminHt
585.0325	4.0	CSnegHt
609.0317	4.0	CSnegFt
632.9955	4.0	CSminHf
656.9981	4.0	CSminHf
681.0096	4.0	CSnegHf
684.9983	0.5	USneg
705.0289	4.0	CSminFf
729.0282	4.0	CSnegFf
733.0082	0.5	USneg
752.9915	4.0	CSminFt
776.9941	4.0	CSminHt
801.006	4.0	CSnegHt
825.0158	4.0	CSnegFt
849.0246	4.0	CSminFf
873.0239	4.0	CSminHf
896.9901	4.0	CSnegHf
900.9878	0.5	USneg
920.9926	4.0	CSnegHf
924.9903	0.5	USneg
945.0119	4.0	CSnegFf
949.0018	0.5	USneg
969.021	4.0	CSminFt
993.0203	4.0	CSminHt
1016.9861	4.0	CSnegHt
1040.9886	4.0	CSnegFt
1064.9982	4.0	CSnegHf
1068.9889	0.5	USneg
1089.0175	4.0	CSminHf
1113.0168	4.0	CSnegFf
1116.9968	0.5	USneg
1136.9821	4.0	CSminFf
1160.9847	4.0	CSminFt
1184.9946	4.0	CSminHt
1209.0139	4.0	CSnegHt
1233.0132	4.0	CSnegFt
