onset	duration	stimulus
9.0299	4.0	CSminFt
33.0293	4.0	CSminHt
57.0136	4.0	CSnegHt
81.0163	4.0	CSnegFt
105.0278	4.0	CSminFt
129.0273	4.0	CSminHt
153.0268	4.0	CSnegHt
177.0106	4.0	CSnegFt
201.0134	4.0	CSnegFf
225.0253	4.0	CSminHf
249.0248	4.0	CSminFf
273.0243	4.0	CSnegFf
297.0244	4.0	CSnegHf
321.0105	4.0	CSminFt
345.0227	4.0	CSminHt
369.0223	4.0	CSnegHt
393.0218	4.0	CSnegFt
417.0215	4.0	CSnegFf
441.0076	4.0	CSminHf
465.0103	4.0	CSnegHf
489.0197	4.0	CSminFf
513.0192	4.0	CSminFf
537.0187	4.0	CSminFt
561.0046	4.0	CSminHt
585.0074	4.0	CSnegHt
609.0172	4.0	CSnegFt
633.0167	4.0	CSminHf
657.0162	4.0	CSminHf
681.0017	4.0	CSnegHf
705.0045	4.0	CSminFf
729.0147	4.0	CSnegFf
753.0142	4.0	CSminFt
777.0137	4.0	CSminHt
800.9988	4.0	CSnegHt
825.0015	4.0	CSnegFt
849.0122	4.0	CSminFf
873.0117	4.0	CSminHf
897.0112	4.0	CSnegHf
920.9959	4.0	CSnegHf
944.9986	4.0	CSnegFf
969.0097	4.0	CSminFt
993.0092	4.0	CSminHt
1017.0087	4.0	CSnegHt
1040.9929	4.0	CSnegFt
1064.9957	4.0	CSnegHf
1089.0072	4.0	CSminHf
1113.0067	4.0	CSnegFf
1137.0062	4.0	CSminFf
1160.99	4.0	CSminFt
1184.9928	4.0	CSminHt
1209.0047	4.0	CSnegHt
1233.0042	4.0	CSnegFt
1253.5037	0.5	USneg
1279.0032	4.0	CSminFt
1302.9882	4.0	CSminHt
1326.991	4.0	CSnegHt
1351.0017	4.0	CSnegFt
1375.0013	4.0	GenPCSminH
1399.0007	4.0	GenPCSnegH
1422.9853	4.0	GenPCSminF
1446.9881	4.0	GenPCSnegF
