onset	duration	stimulus
9.0173	4.0	CSnegFt
33.0367	4.0	CSminHt
57.0361	4.0	CSnegHt
81.0183	4.0	CSminFt
105.0044	4.0	CSnegFt
129.0146	4.0	CSminHt
153.0341	4.0	CSnegHt
177.0336	4.0	CSminFt
201.0154	4.0	CSnegHf
205.013	0.5	USneg
225.0014	4.0	CSminHf
249.0121	4.0	CSminFf
273.0316	4.0	CSnegFf
277.0115	0.5	USneg
297.0311	4.0	CSnegHf
301.011	0.5	USneg
321.0124	4.0	CSnegFt
344.9985	4.0	CSminHt
369.0096	4.0	CSnegHt
393.0291	4.0	CSminFt
417.0286	4.0	CSminFf
441.0281	4.0	CSminFf
464.9955	4.0	CSnegFf
468.9932	0.5	USneg
489.0071	4.0	CSminHf
513.0266	4.0	CSnegHf
517.0065	0.5	USneg
537.0261	4.0	CSnegFt
561.0256	4.0	CSminHt
584.9926	4.0	CSnegHt
609.0046	4.0	CSminFt
633.0148	4.0	CSnegHf
637.004	0.5	USneg
657.0236	4.0	CSminHf
681.0231	4.0	CSminHf
704.9896	4.0	CSminFf
728.9924	4.0	CSnegFf
732.99	0.5	USneg
753.0118	4.0	CSnegFt
777.0211	4.0	CSminHt
801.0206	4.0	CSnegHt
825.0034	4.0	CSminFt
848.9894	4.0	CSminFf
873.0089	4.0	CSminHf
897.0186	4.0	CSnegFf
900.9984	0.5	USneg
921.0181	4.0	CSnegHf
924.9982	0.5	USneg
945.0004	4.0	CSnegFf
948.9981	0.5	USneg
968.9865	4.0	CSnegFt
992.9966	4.0	CSminHt
1017.0161	4.0	CSnegHt
1041.0156	4.0	CSminFt
1064.9975	4.0	CSnegHf
1068.9952	0.5	USneg
1088.9835	4.0	CSminHf
1112.9941	4.0	CSnegFf
1116.9839	0.5	USneg
1137.0135	4.0	CSminFf
1161.0131	4.0	CSnegFt
1184.9945	4.0	CSminHt
1208.9806	4.0	CSnegHt
1232.9915	4.0	CSminFt
