onset	duration	stimulus
9.0087	4.0	CSminHt
33.0193	4.0	CSnegFt
57.0188	4.0	CSminFt
81.0183	4.0	CSnegHt
105.0033	4.0	CSminHt
129.0061	4.0	CSnegFt
153.0169	4.0	CSminFt
177.0165	4.0	CSnegHt
201.0161	4.0	CSnegHf
225.0008	4.0	CSminHf
249.0036	4.0	CSminFf
273.0148	4.0	CSnegFf
297.0144	4.0	CSnegHf
321.014	4.0	CSminHt
344.9982	4.0	CSnegFt
369.001	4.0	CSminFt
393.0127	4.0	CSnegHt
417.0122	4.0	CSminFf
441.0118	4.0	CSminFf
465.0123	4.0	CSnegFf
488.9985	4.0	CSminHf
513.0105	4.0	CSnegHf
537.01	4.0	CSminHt
561.0097	4.0	CSnegFt
585.0098	4.0	CSminFt
608.9959	4.0	CSnegHt
633.0084	4.0	CSnegHf
657.0079	4.0	CSminHf
681.0275	4.0	CSminHf
705.0072	4.0	CSminFf
728.9933	4.0	CSnegFf
752.9962	4.0	CSminHt
777.0058	4.0	CSnegFt
801.0054	4.0	CSminFt
825.0049	4.0	CSnegHt
848.9908	4.0	CSminFf
872.9936	4.0	CSminHf
897.0036	4.0	CSnegFf
921.0032	4.0	CSnegHf
945.0028	4.0	CSnegFf
968.9882	4.0	CSminHt
992.991	4.0	CSnegFt
1017.0105	4.0	CSminFt
1041.0011	4.0	CSnegHt
1065.0006	4.0	CSnegHf
1088.9856	4.0	CSminHf
1112.9884	4.0	CSnegFf
1136.9993	4.0	CSminFf
1160.9989	4.0	CSminHt
1185.0185	4.0	CSnegFt
1208.9997	4.0	CSminFt
1232.9859	4.0	CSnegHt
1253.4835	0.5	USneg
1278.9968	4.0	CSminHt
1302.9964	4.0	CSnegFt
1326.9959	4.0	CSminFt
1350.9817	4.0	CSnegHt
1374.9845	4.0	GenPCSnegH
1398.9946	4.0	GenPCSnegF
1422.9942	4.0	GenPCSminH
1446.9938	4.0	GenPCSminF
