onset	duration	stimulus
9.0493	4.0	CSminHt
33.049	4.0	CSnegFt
57.0133	4.0	CSminFt
81.0162	4.0	CSnegHt
105.0281	4.0	CSminHt
129.0278	4.0	CSnegFt
153.0475	4.0	CSminFt
177.0473	4.0	CSnegHt
201.0143	4.0	CSnegHf
205.0119	0.5	USneg
225.0266	4.0	CSminHf
249.0263	4.0	CSminFf
273.0461	4.0	CSnegFf
277.0262	0.5	USneg
297.0458	4.0	CSnegHf
301.0257	0.5	USneg
321.0124	4.0	CSminHt
345.0153	4.0	CSnegFt
369.0249	4.0	CSminFt
393.0446	4.0	CSnegHt
417.0443	4.0	CSminFf
441.0105	4.0	CSminFf
465.0134	4.0	CSnegFf
469.011	0.5	USneg
489.0235	4.0	CSminHf
513.0431	4.0	CSnegHf
517.0231	0.5	USneg
537.0429	4.0	CSminHt
561.0086	4.0	CSnegFt
585.0115	4.0	CSminFt
609.0311	4.0	CSnegHt
633.0417	4.0	CSnegHf
637.0216	0.5	USneg
657.0214	4.0	CSminHf
681.0066	4.0	CSminHf
705.0096	4.0	CSminFf
729.0205	4.0	CSnegFf
733.0102	0.5	USneg
753.0402	4.0	CSminHt
777.0199	4.0	CSnegFt
801.0047	4.0	CSminFt
825.0077	4.0	CSnegHt
849.0191	4.0	CSminFf
873.0388	4.0	CSminHf
897.0185	4.0	CSnegFf
901.0184	0.5	USneg
921.0028	4.0	CSnegHf
925.0004	0.5	USneg
945.0058	4.0	CSnegFf
949.0034	0.5	USneg
969.0176	4.0	CSminHt
993.0373	4.0	CSnegFt
1017.037	4.0	CSminFt
1041.0367	4.0	CSnegHt
1065.0039	4.0	CSnegHf
1069.0015	0.5	USneg
1089.0068	4.0	CSminHf
1113.0358	4.0	CSnegFf
1117.0157	0.5	USneg
1137.0156	4.0	CSminFf
1161.0157	4.0	CSminHt
1185.0019	4.0	CSnegFt
1209.0049	4.0	CSminFt
1233.0245	4.0	CSnegHt
