onset	duration	stimulus
9.0189	4.0	CSnegFt
33.0308	4.0	CSminHt
57.0307	4.0	CSnegHt
81.0303	4.0	CSminFt
105.0141	4.0	CSnegFt
129.017	4.0	CSminHt
153.0294	4.0	CSnegHt
177.0291	4.0	CSminFt
201.0288	4.0	CSnegHf
205.0089	0.5	USneg
225.0122	4.0	CSminHf
249.0151	4.0	CSminFf
273.0279	4.0	CSnegFf
277.008	0.5	USneg
297.0276	4.0	CSnegHf
301.0077	0.5	USneg
321.0273	4.0	CSnegFt
345.0103	4.0	CSminHt
369.0132	4.0	CSnegHt
393.0162	4.0	CSminFt
417.0262	4.0	CSminFf
441.0259	4.0	CSminFf
465.0084	4.0	CSnegFf
469.006	0.5	USneg
489.0113	4.0	CSminHf
513.0143	4.0	CSnegHf
517.0119	0.5	USneg
537.0247	4.0	CSnegFt
561.0244	4.0	CSminHt
585.0064	4.0	CSnegHt
609.0094	4.0	CSminFt
633.0123	4.0	CSnegHf
637.01	0.5	USneg
657.0232	4.0	CSminHf
681.0229	4.0	CSminHf
705.0045	4.0	CSminFf
729.0075	4.0	CSnegFf
733.0051	0.5	USneg
753.0104	4.0	CSnegFt
777.0218	4.0	CSminHt
801.0215	4.0	CSnegHt
825.0212	4.0	CSminFt
849.0056	4.0	CSminFf
873.0085	4.0	CSminHf
897.0203	4.0	CSnegFf
901.0004	0.5	USneg
921.02	4.0	CSnegHf
925.0001	0.5	USneg
945.0197	4.0	CSnegFf
948.9998	0.5	USneg
969.0036	4.0	CSnegFt
993.0066	4.0	CSminHt
1017.0189	4.0	CSnegHt
1041.0186	4.0	CSminFt
1065.0183	4.0	CSnegHf
1068.9983	0.5	USneg
1089.0017	4.0	CSminHf
1113.0047	4.0	CSnegFf
1117.0023	0.5	USneg
1137.0076	4.0	CSminFf
1161.0171	4.0	CSnegFt
1185.0168	4.0	CSminHt
1208.9998	4.0	CSnegHt
1233.0028	4.0	CSminFt
