onset	duration	stimulus
9.0497	4.0	CSminHt
33.0156	4.0	CSnegFt
57.0184	4.0	CSminFt
81.0283	4.0	CSnegHt
105.0477	4.0	CSminHt
129.0472	4.0	CSnegFt
153.0127	4.0	CSminFt
177.0154	4.0	CSnegHt
201.0257	4.0	CSnegHf
205.0158	0.5	USneg
225.0452	4.0	CSminHf
249.0446	4.0	CSminFf
273.0097	4.0	CSnegFf
277.0074	0.5	USneg
297.0125	4.0	CSnegHf
301.0101	0.5	USneg
321.0231	4.0	CSminHt
345.0426	4.0	CSnegFt
369.0421	4.0	CSminFt
393.0068	4.0	CSnegHt
417.0095	4.0	CSminFf
441.0206	4.0	CSminFf
465.0401	4.0	CSnegFf
469.0202	0.5	USneg
489.0396	4.0	CSminHf
513.0038	4.0	CSnegHf
517.0015	0.5	USneg
537.0066	4.0	CSminHt
561.0181	4.0	CSnegFt
585.0376	4.0	CSminFt
609.0371	4.0	CSnegHt
633.0009	4.0	CSnegHf
636.9985	0.5	USneg
657.0036	4.0	CSminHf
681.0156	4.0	CSminHf
705.0258	4.0	CSminFf
729.0346	4.0	CSnegFf
733.0147	0.5	USneg
753.0341	4.0	CSminHt
777.0007	4.0	CSnegFt
801.0034	4.0	CSminFt
825.0228	4.0	CSnegHt
849.0321	4.0	CSminFf
873.0316	4.0	CSminHf
896.9977	4.0	CSnegFf
900.9953	0.5	USneg
921.0004	4.0	CSnegHf
924.9981	0.5	USneg
945.0101	4.0	CSnegFf
949.0099	0.5	USneg
969.0296	4.0	CSminHt
993.0291	4.0	CSnegFt
1016.9947	4.0	CSminFt
1040.9975	4.0	CSnegHt
1065.0076	4.0	CSnegHf
1068.9979	0.5	USneg
1089.0271	4.0	CSminHf
1113.0266	4.0	CSnegFf
1117.0066	0.5	USneg
1136.9918	4.0	CSminFf
1160.9945	4.0	CSminHt
1185.0051	4.0	CSnegFt
1209.0246	4.0	CSminFt
1233.0241	4.0	CSnegHt
