onset	duration	stimulus
9.0091	4.0	CSminHt
33.0192	4.0	CSnegFt
57.0386	4.0	CSminFt
81.0381	4.0	CSnegHt
105.0034	4.0	CSminHt
129.0062	4.0	CSnegFt
153.0166	4.0	CSminFt
177.0361	4.0	CSnegHt
201.0356	4.0	CSnegHf
205.0157	0.5	USneg
225.0005	4.0	CSminHf
249.0032	4.0	CSminFf
273.0141	4.0	CSnegFf
277.0036	0.5	USneg
297.0336	4.0	CSnegHf
301.0137	0.5	USneg
321.0331	4.0	CSminHt
344.9975	4.0	CSnegFt
369.0003	4.0	CSminFt
393.0116	4.0	CSnegHt
417.0311	4.0	CSminFf
441.0306	4.0	CSminFf
464.9946	4.0	CSnegFf
468.9922	0.5	USneg
488.9973	4.0	CSminHf
513.0091	4.0	CSnegHf
516.9977	0.5	USneg
537.0195	4.0	CSminHt
561.0281	4.0	CSnegFt
585.0276	4.0	CSminFt
608.9944	4.0	CSnegHt
632.9971	4.0	CSnegHf
636.9947	0.5	USneg
657.0261	4.0	CSminHf
681.0256	4.0	CSminHf
705.025	4.0	CSminFf
728.9914	4.0	CSnegFf
732.989	0.5	USneg
752.9941	4.0	CSminHt
777.0036	4.0	CSnegFt
801.0231	4.0	CSminFt
825.0226	4.0	CSnegHt
848.9885	4.0	CSminFf
872.9912	4.0	CSminHf
897.0106	4.0	CSnegFf
901.0011	0.5	USneg
921.0206	4.0	CSnegHf
925.0007	0.5	USneg
945.0201	4.0	CSnegFf
949.0001	0.5	USneg
968.9855	4.0	CSminHt
992.9882	4.0	CSnegFt
1017.0077	4.0	CSminFt
1041.0181	4.0	CSnegHt
1065.0176	4.0	CSnegHf
1068.9977	0.5	USneg
1088.9825	4.0	CSminHf
1112.9853	4.0	CSnegFf
1116.9829	0.5	USneg
1136.996	4.0	CSminFf
1161.0155	4.0	CSminHt
1185.015	4.0	CSnegFt
1208.9796	4.0	CSminFt
1232.9823	4.0	CSnegHt
