onset	duration	stimulus
9.0293	4.0	CSnegHt
33.0287	4.0	CSnegFt
57.0282	4.0	CSminFt
81.0141	4.0	CSminHt
105.0169	4.0	CSnegHt
129.0267	4.0	CSnegFt
153.0262	4.0	CSminFt
177.0257	4.0	CSminHt
201.0112	4.0	CSnegFf
225.0139	4.0	CSminHf
249.0242	4.0	CSminFf
273.0237	4.0	CSnegFf
297.0232	4.0	CSnegHf
321.0083	4.0	CSnegHt
345.011	4.0	CSnegFt
369.0217	4.0	CSminFt
393.0212	4.0	CSminHt
417.0207	4.0	CSnegFf
441.0053	4.0	CSminHf
465.0081	4.0	CSnegHf
489.0192	4.0	CSminFf
513.0187	4.0	CSminFf
537.0182	4.0	CSnegHt
561.0024	4.0	CSnegFt
585.0052	4.0	CSminFt
609.0167	4.0	CSminHt
633.0162	4.0	CSminHf
657.0157	4.0	CSminHf
680.9995	4.0	CSnegHf
705.0022	4.0	CSminFf
729.005	4.0	CSnegFf
753.0137	4.0	CSnegHt
777.0132	4.0	CSnegFt
801.0132	4.0	CSminFt
824.9993	4.0	CSminHt
849.0116	4.0	CSminFf
873.0111	4.0	CSminHf
897.0106	4.0	CSnegHf
921.0103	4.0	CSnegHf
944.9964	4.0	CSnegFf
968.9991	4.0	CSnegHt
993.0086	4.0	CSnegFt
1017.0081	4.0	CSminFt
1041.0076	4.0	CSminHt
1064.9934	4.0	CSnegHf
1088.9962	4.0	CSminHf
1113.0061	4.0	CSnegFf
1137.0056	4.0	CSminFf
1161.0251	4.0	CSnegHt
1184.9905	4.0	CSnegFt
1208.9932	4.0	CSminFt
1233.0036	4.0	CSminHt
1253.4936	0.5	USneg
1279.0026	4.0	CSnegHt
1303.0026	4.0	CSnegFt
1326.9887	4.0	CSminFt
1350.9914	4.0	CSminHt
1375.0007	4.0	GenPCSminH
1399.0002	4.0	GenPCSnegH
1422.9997	4.0	GenPCSminF
1446.9858	4.0	GenPCSnegF
