onset	duration	stimulus
9.0167	4.0	CSnegFt
33.017	4.0	CSminHt
57.0031	4.0	CSnegHt
81.0151	4.0	CSminFt
105.0253	4.0	CSnegFt
129.0141	4.0	CSminHt
153.0141	4.0	CSnegHt
177.0002	4.0	CSminFt
201.003	4.0	CSnegHf
225.0121	4.0	CSminHf
249.0116	4.0	CSminFf
273.0311	4.0	CSnegFf
297.014	4.0	CSnegHf
321.0	4.0	CSnegFt
345.0096	4.0	CSminHt
369.0291	4.0	CSnegHt
393.0286	4.0	CSminFt
417.011	4.0	CSminFf
440.9971	4.0	CSminFf
465.0071	4.0	CSnegFf
489.0066	4.0	CSminHf
513.0061	4.0	CSnegHf
537.0081	4.0	CSnegFt
560.9942	4.0	CSminHt
585.0046	4.0	CSnegHt
609.0241	4.0	CSminFt
633.0236	4.0	CSnegHf
657.0052	4.0	CSminHf
680.9913	4.0	CSminHf
705.0021	4.0	CSminFf
729.0216	4.0	CSnegFf
753.0011	4.0	CSnegFt
777.0023	4.0	CSminHt
800.9883	4.0	CSnegHt
824.9996	4.0	CSminFt
849.0191	4.0	CSminFf
873.0186	4.0	CSminHf
896.9994	4.0	CSnegFf
920.9854	4.0	CSnegHf
944.9971	4.0	CSnegFf
968.9966	4.0	CSnegFt
992.9961	4.0	CSminHt
1017.0155	4.0	CSnegHt
1040.9992	4.0	CSminFt
1064.9852	4.0	CSnegHf
1089.014	4.0	CSminHf
1113.0135	4.0	CSnegFf
1137.013	4.0	CSminFf
1160.9963	4.0	CSnegFt
1184.9823	4.0	CSminHt
1209.0018	4.0	CSnegHt
1232.991	4.0	CSminFt
1253.4906	0.5	USneg
1278.9917	4.0	CSnegFt
1302.9945	4.0	CSminHt
1326.9891	4.0	CSnegHt
1350.9886	4.0	CSminFt
1374.9881	4.0	GenPCSnegH
1399.0075	4.0	GenPCSnegF
1422.9915	4.0	GenPCSminH
1446.9865	4.0	GenPCSminF
