onset	duration	stimulus
9.0492	4.0	CSminHt
33.0485	4.0	CSnegFt
57.0145	4.0	CSminFt
81.0172	4.0	CSnegHt
105.0268	4.0	CSminHt
129.0262	4.0	CSnegFt
153.0456	4.0	CSminFt
177.0112	4.0	CSnegHt
201.0138	4.0	CSnegHf
225.0239	4.0	CSminHf
249.0233	4.0	CSminFf
273.0228	4.0	CSnegFf
297.0078	4.0	CSnegHf
321.0105	4.0	CSminHt
345.021	4.0	CSnegFt
369.0205	4.0	CSminFt
393.0199	4.0	CSnegHt
417.0045	4.0	CSminFf
441.0072	4.0	CSminFf
465.0182	4.0	CSnegFf
489.0176	4.0	CSminHf
513.037	4.0	CSnegHf
537.0012	4.0	CSminHt
561.0038	4.0	CSnegFt
585.0153	4.0	CSminFt
609.0147	4.0	CSnegHt
633.0141	4.0	CSnegHf
656.9978	4.0	CSminHf
681.0005	4.0	CSminHf
705.0124	4.0	CSminFf
729.0119	4.0	CSnegFf
753.0113	4.0	CSminHt
777.0111	4.0	CSnegFt
800.9971	4.0	CSminFt
824.9998	4.0	CSnegHt
849.029	4.0	CSminFf
873.0084	4.0	CSminHf
897.0078	4.0	CSnegFf
920.9938	4.0	CSnegHf
944.9965	4.0	CSnegFf
969.0061	4.0	CSminHt
993.0255	4.0	CSnegFt
1017.0049	4.0	CSminFt
1040.9905	4.0	CSnegHt
1064.9931	4.0	CSnegHf
1089.0032	4.0	CSminHf
1113.0026	4.0	CSnegFf
1137.0021	4.0	CSminFf
1160.9871	4.0	CSminHt
1184.9898	4.0	CSnegFt
1209.0003	4.0	CSminFt
1232.9997	4.0	CSnegHt
1253.4993	0.5	USneg
1278.9988	4.0	CSminHt
1302.9848	4.0	CSnegFt
1326.9875	4.0	CSminFt
1350.9969	4.0	CSnegHt
1374.9964	4.0	GenPCSnegH
1399.0159	4.0	GenPCSnegF
1422.9815	4.0	GenPCSminH
1446.9842	4.0	GenPCSminF
