onset	duration	stimulus
9.019	4.0	CSnegFt
33.0294	4.0	CSminHt
57.029	4.0	CSnegHt
81.0287	4.0	CSminFt
105.0141	4.0	CSnegFt
129.0171	4.0	CSminHt
153.0278	4.0	CSnegHt
177.0276	4.0	CSminFt
201.0273	4.0	CSnegHf
205.0272	0.5	USneg
225.0123	4.0	CSminHf
249.0152	4.0	CSminFf
273.0264	4.0	CSnegFf
277.0158	0.5	USneg
297.0461	4.0	CSnegHf
301.026	0.5	USneg
321.0258	4.0	CSnegFt
345.0104	4.0	CSminHt
369.0134	4.0	CSnegHt
393.0249	4.0	CSminFt
417.0246	4.0	CSminFf
441.0243	4.0	CSminFf
465.0085	4.0	CSnegFf
469.0061	0.5	USneg
489.0115	4.0	CSminHf
513.0235	4.0	CSnegHf
517.0121	0.5	USneg
537.0232	4.0	CSnegFt
561.0229	4.0	CSminHt
585.0066	4.0	CSnegHt
609.0096	4.0	CSminFt
633.022	4.0	CSnegHf
637.0102	0.5	USneg
657.0217	4.0	CSminHf
681.0214	4.0	CSminHf
705.0411	4.0	CSminFf
729.0077	4.0	CSnegFf
733.0053	0.5	USneg
753.0107	4.0	CSnegFt
777.0202	4.0	CSminHt
801.02	4.0	CSnegHt
825.0197	4.0	CSminFt
849.0059	4.0	CSminFf
873.0088	4.0	CSminHf
897.0188	4.0	CSnegFf
901.0187	0.5	USneg
921.0185	4.0	CSnegHf
925.0184	0.5	USneg
945.0182	4.0	CSnegFf
949.0181	0.5	USneg
969.004	4.0	CSnegFt
993.0069	4.0	CSminHt
1017.0173	4.0	CSnegHt
1041.017	4.0	CSminFt
1065.0167	4.0	CSnegHf
1069.0166	0.5	USneg
1089.0021	4.0	CSminHf
1113.0051	4.0	CSnegFf
1117.0027	0.5	USneg
1137.0159	4.0	CSminFf
1161.0156	4.0	CSnegFt
1185.0153	4.0	CSminHt
1209.0002	4.0	CSnegHt
1233.0032	4.0	CSminFt
